City,Year,Brand,Car Name,Car model,Car Price,KM,Owner,Car Type,Car link
Chennai,2021,Hyundai,GRAND I10 NIOS,Manual,"₹7,28,599","1,911 km",1st Owner,Petrol,https://www.cars24.com/buy-used-hyundai-grand-i10-nios-2021-cars-chennai-11394891792/
Chennai,2014,Maruti,Swift  ,Manual,"₹4,76,899","37,093 km",2nd Owner,Petrol,https://www.cars24.com/buy-used-maruti-swift-2014-cars-chennai-1137566966/
Chennai,2013,Hyundai,i20  ,Manual,"₹4,34,499","33,973 km",2nd Owner,Petrol,https://www.cars24.com/buy-used-hyundai-i20-2013-cars-chennai-1133899262/
Chennai,2017,Volkswagen,Polo  ,Manual,"₹5,63,299","17,174 km",1st Owner,Petrol,https://www.cars24.com/buy-used-volkswagen-polo-2017-cars-chennai-11397696792/
Chennai,2020,Maruti,New Wagon-R ,Manual,"₹5,23,140","15,270 km",2nd Owner,Petrol,https://www.cars24.com/buy-used-maruti-new--wagon-r-2020-cars-chennai-1130939764/
Chennai,2016,Maruti,Swift Dzire ,Manual,"₹5,74,299","29,217 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-swift-dzire-2016-cars-chennai-11361590773/
Chennai,2020,Mahindra,XUV500  ,Automatic,"₹19,23,499","13,690 km",1st Owner,Diesel,https://www.cars24.com/buy-used-mahindra-xuv500-2020-cars-chennai-1134384965/
Chennai,2016,Maruti,Swift Dzire ,Automatic,"₹6,15,099","74,813 km",2nd Owner,Diesel,https://www.cars24.com/buy-used-maruti-swift-dzire-2016-cars-chennai-1135236762/
Chennai,2019,Maruti,Eeco  ,Manual,"₹4,14,299","23,246 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-eeco-2019-cars-chennai-1130909144/
Chennai,2017,Maruti,Swift  ,Manual,"₹5,51,599","41,300 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-swift-2017-cars-chennai-1136826904/
Chennai,2018,Hyundai,Grand i10 ,Manual,"₹5,55,399","22,693 km",1st Owner,Petrol,https://www.cars24.com/buy-used-hyundai-grand-i10-2018-cars-chennai-1137256844/
Chennai,2017,Maruti,Swift  ,Manual,"₹5,27,799","60,612 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-swift-2017-cars-chennai-1137606942/
Chennai,2018,Volkswagen,Polo  ,Manual,"₹5,28,099","69,205 km",2nd Owner,Petrol,https://www.cars24.com/buy-used-volkswagen-polo-2018-cars-chennai-1135032005/
Chennai,2018,Volkswagen,Polo  ,Manual,"₹5,24,199","47,412 km",2nd Owner,Petrol,https://www.cars24.com/buy-used-volkswagen-polo-2018-cars-chennai-1131467365/
Chennai,2021,Maruti,Vitara Brezza ,Manual,"₹10,40,599","14,038 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-vitara-brezza-2021-cars-chennai-11382796770/
Chennai,2018,Maruti,Swift  ,Automatic,"₹6,80,799","1,14,177 km",1st Owner,Diesel,https://www.cars24.com/buy-used-maruti-swift-2018-cars-chennai-1133047841/
Chennai,2017,Maruti,Swift  ,Manual,"₹5,57,999","18,908 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-swift-2017-cars-chennai-1133447860/
Chennai,2016,Maruti,Alto 800 ,Manual,"₹2,89,499","18,472 km",2nd Owner,Petrol,https://www.cars24.com/buy-used-maruti-alto-800-2016-cars-chennai-1132687144/
Chennai,2019,Renault,Kwid  ,Manual,"₹4,27,099","31,836 km",1st Owner,Petrol,https://www.cars24.com/buy-used-renault-kwid-2019-cars-chennai-1131096066/
Chennai,2014,Honda,Amaze  ,Manual,"₹4,51,699","82,815 km",1st Owner,Petrol,https://www.cars24.com/buy-used-honda-amaze-2014-cars-chennai-1134826866/
Chennai,2016,Toyota,Fortuner  ,Manual,"₹20,30,546","47,174 km",2nd Owner,Diesel,https://www.cars24.com/buy-used-toyota-fortuner-2016-cars-chennai-1132982709/
Chennai,2019,Maruti,Celerio  ,Manual,"₹5,43,655","5,842 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-celerio-2019-cars-chennai-1133088663/
