City,Year,Brand,Car Name,Car model,Car Price,Car km,Owner,Car Type,Car link
Pune,2013,Hyundai,i20  ,Manual,374899,"71,022",1,Diesel,https://www.cars24.com/buy-used-hyundai-i20-2013-cars-pune-1036026547/
Pune,2017,Hyundai,New Elantra ,Automatic,1303899,"65,743",3,Diesel,https://www.cars24.com/buy-used-hyundai-new-elantra-2017-cars-pune-10662795773/
Pune,2018,Maruti,Vitara Brezza ,Manual,967599,"29,025",1,Diesel,https://www.cars24.com/buy-used-maruti-vitara-brezza-2018-cars-pune-1062288664/
Pune,2015,Hyundai,Elite i20 ,Manual,555599,"49,363",1,Petrol,https://www.cars24.com/buy-used-hyundai-elite-i20-2015-cars-pune-1064938960/
Pune,2019,KIA,SELTOS  ,Automatic,1459399,"47,272",1,Petrol,https://www.cars24.com/buy-used-kia-seltos-2019-cars-pune-1062279169/
Pune,2014,Hyundai,Elite i20 ,Manual,510899,"57,938",2,Petrol,https://www.cars24.com/buy-used-hyundai-elite-i20-2014-cars-pune-1036710060/
Pune,2021,Hyundai,VENUE  ,Automatic,1333899,"2,051",1,Petrol,https://www.cars24.com/buy-used-hyundai-venue-2021-cars-pune-1067919979/
Pune,2015,Maruti,Wagon R 1.0,Automatic,473299,"33,816",1,Petrol,https://www.cars24.com/buy-used-maruti-wagon-r-1.0-2015-cars-pune-1065638369/
Pune,2016,Hyundai,Grand i10 ,Manual,496899,"33,972",2,Petrol,https://www.cars24.com/buy-used-hyundai-grand-i10-2016-cars-pune-10687793796/
Pune,2014,Hyundai,Elite i20 ,Manual,560899,"62,865",1,Petrol,https://www.cars24.com/buy-used-hyundai-elite-i20-2014-cars-pune-10687691710/
Pune,2016,Hyundai,Elite i20 ,Manual,548699,"54,840",1,Petrol,https://www.cars24.com/buy-used-hyundai-elite-i20-2016-cars-pune-10676590799/
Pune,2017,Maruti,Alto 800 ,Manual,333699,"12,135",1,Petrol,https://www.cars24.com/buy-used-maruti-alto-800-2017-cars-pune-1066897466/
Pune,2016,Hyundai,Creta  ,Automatic,1066899,"67,861",1,Petrol,https://www.cars24.com/buy-used-hyundai-creta-2016-cars-pune-10678293710/
Pune,2017,Skoda,Superb  ,Automatic,1670599,"22,682",2,Petrol,https://www.cars24.com/buy-used-skoda-superb-2017-cars-pune-1039703049/
Pune,2019,Mahindra,Thar  ,Manual,925699,"17,213",1,Diesel,https://www.cars24.com/buy-used-mahindra-thar-2019-cars-pune-1031770567/
Pune,2019,Maruti,Baleno  ,Manual,687599,"10,525",1,Petrol,https://www.cars24.com/buy-used-maruti-baleno-2019-cars-pune-1034462403/
Pune,2018,Maruti,Vitara Brezza ,Automatic,927499,"18,432",1,Diesel,https://www.cars24.com/buy-used-maruti-vitara-brezza-2018-cars-pune-10652493777/
Pune,2017,Honda,Jazz  ,Manual,607599,"16,650",1,Petrol,https://www.cars24.com/buy-used-honda-jazz-2017-cars-pune-1038746300/
Pune,2019,Hyundai,Elite i20 ,Manual,740899,"19,883",1,Petrol,https://www.cars24.com/buy-used-hyundai-elite-i20-2019-cars-pune-10621291774/
Pune,2018,Hyundai,Verna  ,Manual,872199,"44,900",1,Petrol,https://www.cars24.com/buy-used-hyundai-verna-2018-cars-pune-1032802900/
Pune,2018,Honda,Amaze  ,Manual,626999,"13,109",2,Petrol,https://www.cars24.com/buy-used-honda-amaze-2018-cars-pune-10606990712/
Pune,2018,Maruti,Baleno  ,Manual,671099,"8,180",1,Petrol,https://www.cars24.com/buy-used-maruti-baleno-2018-cars-mumbai-1039940167/
Pune,2018,Hyundai,Grand i10 ,Manual,560399,"27,338",1,Petrol,https://www.cars24.com/buy-used-hyundai-grand-i10-2018-cars-mumbai-1037270960/
Pune,2017,Maruti,Vitara Brezza ,Manual,846399,"28,791",1,Diesel,https://www.cars24.com/buy-used-maruti-vitara-brezza-2017-cars-pune-1034966168/
Pune,2016,Toyota,Corolla Altis ,Automatic,1084899,"41,657",1,Petrol,https://www.cars24.com/buy-used-toyota-corolla-altis-2016-cars-pune-1032757145/
Pune,2015,Maruti,Alto K10 ,Automatic,338899,"58,906",1,Petrol,https://www.cars24.com/buy-used-maruti-alto-k10-2015-cars-pune-1063835168/
Pune,2021,Toyota,YARIS  ,Automatic,1105399,"3,412",1,Petrol,https://www.cars24.com/buy-used-toyota-yaris-2021-cars-pune-1068954968/
Pune,2013,Hyundai,Grand i10 ,Manual,389299,"48,937",2,Petrol,https://www.cars24.com/buy-used-hyundai-grand-i10-2013-cars-pune-1037583248/
Pune,2018,Hyundai,Verna  ,Manual,942199,"24,680",1,Petrol,https://www.cars24.com/buy-used-hyundai-verna-2018-cars-pune-10676596778/
Pune,2016,Maruti,Baleno  ,Manual,584878,"48,861",1,Petrol,https://www.cars24.com/buy-used-maruti-baleno-2016-cars-pune-1061472961/
Pune,2019,Hyundai,Verna  ,Manual,1120499,"16,006",1,Petrol,https://www.cars24.com/buy-used-hyundai-verna-2019-cars-mumbai-1035466669/
Pune,2019,Hyundai,VENUE  ,Automatic,1133699,"3,297",1,Petrol,https://www.cars24.com/buy-used-hyundai-venue-2019-cars-pune-1039646003/
Pune,2018,Hyundai,Creta  ,Automatic,1373699,"31,399",2,Petrol,https://www.cars24.com/buy-used-hyundai-creta-2018-cars-pune-1069044467/
Pune,2017,Hyundai,Elite i20 ,Manual,564499,"63,395",1,Petrol,https://www.cars24.com/buy-used-hyundai-elite-i20-2017-cars-pune-1031557908/
Pune,2020,Hyundai,Creta  ,Automatic,1804399,"14,623",1,Petrol,https://www.cars24.com/buy-used-hyundai-creta-2020-cars-mumbai-1035672663/
Pune,2017,Maruti,Baleno  ,Manual,625699,"13,461",1,Petrol,https://www.cars24.com/buy-used-maruti-baleno-2017-cars-pune-1033776360/
Pune,2015,Maruti,Baleno  ,Manual,561299,"48,034",1,Diesel,https://www.cars24.com/buy-used-maruti-baleno-2015-cars-pune-1037546422/
Pune,2018,Maruti,Alto 800 ,Manual,350599,"76,230",1,Petrol,https://www.cars24.com/buy-used-maruti-alto-800-2018-cars-pune-1064318169/
Pune,2017,Mahindra,TUV300  ,Manual,740399,"39,297",1,Diesel,https://www.cars24.com/buy-used-mahindra-tuv300-2017-cars-pune-1036337403/
Pune,2019,Maruti,Baleno  ,Manual,647499,"49,941",1,Petrol,https://www.cars24.com/buy-used-maruti-baleno-2019-cars-pune-1068781460/
Pune,2017,Hyundai,Creta  ,Automatic,1214599,"67,537",2,Diesel,https://www.cars24.com/buy-used-hyundai-creta-2017-cars-pune-10678992771/
Pune,2017,Hyundai,Grand i10 ,Manual,555999,"12,357",1,Petrol,https://www.cars24.com/buy-used-hyundai-grand-i10-2017-cars-pune-1069623460/
Pune,2017,Maruti,Baleno  ,Manual,620099,"30,381",1,Petrol,https://www.cars24.com/buy-used-maruti-baleno-2017-cars-pune-1033312263/
Pune,2018,Maruti,IGNIS  ,Manual,446799,"13,022",2,Petrol,https://www.cars24.com/buy-used-maruti-ignis-2018-cars-pune-1036263908/
Pune,2017,Maruti,Baleno  ,Manual,638499,"15,024",1,Petrol,https://www.cars24.com/buy-used-maruti-baleno-2017-cars-pune-10610895775/
Pune,2018,Maruti,S Cross ,Manual,861799,"50,195",2,Diesel,https://www.cars24.com/buy-used-maruti-s-cross-2018-cars-pune-1066782765/
Pune,2015,Toyota,Innova  ,Manual,970699,148149,1,Diesel,https://www.cars24.com/buy-used-toyota-innova-2015-cars-pune-1035409602/
Pune,2017,Maruti,IGNIS  ,Manual,468699,"41,406",1,Petrol,https://www.cars24.com/buy-used-maruti-ignis-2017-cars-pune-1066813200/
Pune,2017,Maruti,Baleno  ,Manual,634099,"35,019",1,Petrol,https://www.cars24.com/buy-used-maruti-baleno-2017-cars-pune-1064773160/
Pune,2018,Ford,Figo Aspire ,Manual,569699,"6,136",1,Petrol,https://www.cars24.com/buy-used-ford-figo-aspire-2018-cars-pune-1037993401/
Pune,2015,Maruti,Wagon R 1.0,Manual,409099,"32,327",1,Petrol,https://www.cars24.com/buy-used-maruti-wagon-r-1.0-2015-cars-pune-1064965467/
Pune,2020,Tata,ALTROZ  ,Manual,826499,"22,160",1,Petrol,https://www.cars24.com/buy-used-tata-altroz-2020-cars-pune-1066904168/
Pune,2018,Hyundai,Verna  ,Automatic,1113380,"12,049",1,Petrol,https://www.cars24.com/buy-used-hyundai-verna-2018-cars-pune-10666696796/
Pune,2017,Hyundai,Creta  ,Automatic,1123299,"48,139",1,Petrol,https://www.cars24.com/buy-used-hyundai-creta-2017-cars-pune-1069092261/
Pune,2016,Maruti,Baleno  ,Automatic,588699,"66,971",1,Petrol,https://www.cars24.com/buy-used-maruti-baleno-2016-cars-pune-1035938640/
Pune,2019,Maruti,S Cross ,Manual,923699,"22,000",1,Diesel,https://www.cars24.com/buy-used-maruti-s-cross-2019-cars-pune-1030073941/
Pune,2015,Hyundai,i20 Active ,Manual,553699,"43,562",1,Petrol,https://www.cars24.com/buy-used-hyundai-i20-active-2015-cars-pune-1065299468/
Pune,2018,Ford,Ecosport  ,Manual,757877,"33,655",1,Petrol,https://www.cars24.com/buy-used-ford-ecosport-2018-cars-pune-1066784364/
Pune,2018,Maruti,Vitara Brezza ,Manual,855899,"37,510",1,Diesel,https://www.cars24.com/buy-used-maruti-vitara-brezza-2018-cars-pune-1032289743/
Pune,2017,Maruti,Alto K10 ,Automatic,400099,"18,855",1,Petrol,https://www.cars24.com/buy-used-maruti-alto-k10-2017-cars-pune-1063655160/
Pune,2017,Hyundai,Elite i20 ,Manual,689099,"44,460",2,Petrol,https://www.cars24.com/buy-used-hyundai-elite-i20-2017-cars-pune-10607693797/
Pune,2017,Maruti,Wagon R 1.0,Manual,451399,"24,837",1,Petrol,https://www.cars24.com/buy-used-maruti-wagon-r-1.0-2017-cars-pune-1030656267/
Pune,2015,Maruti,Baleno  ,Manual,558499,"44,174",1,Petrol,https://www.cars24.com/buy-used-maruti-baleno-2015-cars-mumbai-1031650668/
Pune,2019,Maruti,Baleno  ,Manual,707899,"42,127",1,Petrol,https://www.cars24.com/buy-used-maruti-baleno-2019-cars-pune-10674696797/
Pune,2017,Hyundai,Grand i10 ,Manual,499199,"43,601",1,Petrol,https://www.cars24.com/buy-used-hyundai-grand-i10-2017-cars-mumbai-1034674860/
Pune,2018,Honda,City  ,Automatic,1058899,"54,522",1,Petrol,https://www.cars24.com/buy-used-honda-city-2018-cars-mumbai-1034870267/
Pune,2018,Ford,Ecosport  ,Manual,1038999,"43,371",1,Diesel,https://www.cars24.com/buy-used-ford-ecosport-2018-cars-pune-10608098779/
Pune,2015,Hyundai,Creta  ,Manual,864199,"81,590",1,Diesel,https://www.cars24.com/buy-used-hyundai-creta-2015-cars-pune-1030946828/
Pune,2018,Maruti,Alto 800 ,Manual,341899,"29,917",1,Petrol,https://www.cars24.com/buy-used-maruti-alto-800-2018-cars-pune-1068890761/
Pune,2018,Maruti,IGNIS  ,Manual,534899,"8,280",1,Petrol,https://www.cars24.com/buy-used-maruti-ignis-2018-cars-mumbai-1033970166/
Pune,2020,Skoda,Rapid  ,Automatic,1244299,"9,272",1,Petrol,https://www.cars24.com/buy-used-skoda-rapid-2020-cars-pune-10624891772/
Pune,2017,Honda,BR-V  ,Automatic,819599,"68,442",1,Petrol,https://www.cars24.com/buy-used-honda-br-v-2017-cars-pune-1033900366/
Pune,2019,Ford,Ecosport  ,Automatic,990699,"34,762",1,Petrol,https://www.cars24.com/buy-used-ford-ecosport-2019-cars-pune-1062175565/
Pune,2020,KIA,SELTOS  ,Automatic,1911499,"8,305",1,Petrol,https://www.cars24.com/buy-used-kia-seltos-2020-cars-pune-10642894791/
Pune,2018,Ford,Ecosport  ,Manual,799899,"19,706",1,Petrol,https://www.cars24.com/buy-used-ford-ecosport-2018-cars-pune-10681995713/
Pune,2018,Maruti,Baleno  ,Manual,610199,"69,055",1,Petrol,https://www.cars24.com/buy-used-maruti-baleno-2018-cars-pune-1069543760/
Pune,2021,Maruti,S Cross ,Manual,1060333,"8,228",1,Petrol,https://www.cars24.com/buy-used-maruti-s-cross-2021-cars-pune-1065366966/
Pune,2017,Hyundai,Elite i20 ,Manual,697299,"43,067",2,Petrol,https://www.cars24.com/buy-used-hyundai-elite-i20-2017-cars-pune-10623797710/
Pune,2017,Hyundai,Grand i10 ,Manual,532299,"24,409",1,Petrol,https://www.cars24.com/buy-used-hyundai-grand-i10-2017-cars-pune-1068150868/
Pune,2020,MG,HECTOR  ,Automatic,1752099,"25,063",1,Petrol,https://www.cars24.com/buy-used-mg-hector-2020-cars-pune-1062763362/
Pune,2021,MG,HECTOR  ,Automatic,1915499,"12,272",1,Petrol,https://www.cars24.com/buy-used-mg-hector-2021-cars-pune-1068754663/
Pune,2019,Maruti,Baleno  ,Manual,731199,"19,642",1,Petrol,https://www.cars24.com/buy-used-maruti-baleno-2019-cars-pune-1067711066/
Pune,2017,Maruti,Vitara Brezza ,Manual,781199,"44,742",1,Diesel,https://www.cars24.com/buy-used-maruti-vitara-brezza-2017-cars-pune-1033575306/
Pune,2018,Maruti,Ciaz  ,Manual,824899,"28,523",1,Diesel,https://www.cars24.com/buy-used-maruti-ciaz-2018-cars-pune-1033861104/
Pune,2017,Hyundai,Creta  ,Automatic,1073384,"97,358",1,Diesel,https://www.cars24.com/buy-used-hyundai-creta-2017-cars-pune-1066042003/
Pune,2018,Maruti,Baleno  ,Manual,694699,"10,344",1,Petrol,https://www.cars24.com/buy-used-maruti-baleno-2018-cars-pune-1060565369/
Pune,2019,Maruti,Baleno  ,Manual,736629,"33,608",1,Petrol,https://www.cars24.com/buy-used-maruti-baleno-2019-cars-pune-10693996774/
Pune,2017,Maruti,Baleno  ,Manual,653499,"32,981",1,Petrol,https://www.cars24.com/buy-used-maruti-baleno-2017-cars-pune-10676994773/
Pune,2020,MG,HECTOR  ,Automatic,1888499,"5,388",1,Petrol,https://www.cars24.com/buy-used-mg-hector-2020-cars-pune-1065550665/
Pune,2017,Honda,City  ,Automatic,940999,"24,655",2,Petrol,https://www.cars24.com/buy-used-honda-city-2017-cars-pune-1035177603/
Pune,2017,Maruti,Vitara Brezza ,Manual,738199,"48,518",1,Diesel,https://www.cars24.com/buy-used-maruti-vitara-brezza-2017-cars-pune-1038380622/
Pune,2017,Maruti,Baleno  ,Manual,653499,"24,991",1,Petrol,https://www.cars24.com/buy-used-maruti-baleno-2017-cars-pune-10643399778/
Pune,2017,Tata,Hexa  ,Automatic,1114799,104347,1,Diesel,https://www.cars24.com/buy-used-tata-hexa-2017-cars-pune-1069661240/
Pune,2018,Maruti,Alto 800 ,Manual,339099,"28,017",1,Petrol,https://www.cars24.com/buy-used-maruti-alto-800-2018-cars-pune-1066459969/
Pune,2020,Tata,NEXON  ,Manual,936099,"43,163",1,Petrol,https://www.cars24.com/buy-used-tata-nexon-2020-cars-pune-1064756965/
Pune,2017,Maruti,S Cross ,Manual,958799,"58,871",1,Diesel,https://www.cars24.com/buy-used-maruti-s-cross-2017-cars-pune-1064963860/
Pune,2017,Maruti,IGNIS  ,Automatic,583899,"26,328",1,Petrol,https://www.cars24.com/buy-used-maruti-ignis-2017-cars-pune-1034842266/
Pune,2018,Ford,Ecosport  ,Automatic,904599,"44,981",1,Petrol,https://www.cars24.com/buy-used-ford-ecosport-2018-cars-pune-1064453661/
Pune,2017,Tata,Hexa  ,Automatic,1021199,119618,1,Diesel,https://www.cars24.com/buy-used-tata-hexa-2017-cars-pune-1031301800/
Pune,2018,Toyota,YARIS  ,Manual,856999,"28,478",1,Petrol,https://www.cars24.com/buy-used-toyota-yaris-2018-cars-pune-10641592714/
Pune,2018,Tata,NEXON  ,Automatic,887609,"79,737",1,Diesel,https://www.cars24.com/buy-used-tata-nexon-2018-cars-pune-1061938865/
Pune,2018,Hyundai,Verna  ,Automatic,1102199,"21,774",1,Petrol,https://www.cars24.com/buy-used-hyundai-verna-2018-cars-pune-1032186947/
Pune,2018,Honda,WR-V  ,Manual,815299,"15,939",1,Petrol,https://www.cars24.com/buy-used-honda-wr-v-2018-cars-pune-1037383540/
Pune,2018,Maruti,S Cross ,Manual,1022099,"64,963",1,Diesel,https://www.cars24.com/buy-used-maruti-s-cross-2018-cars-pune-1060005062/
Pune,2018,Maruti,S Cross ,Manual,926099,"63,073",1,Diesel,https://www.cars24.com/buy-used-maruti-s-cross-2018-cars-pune-1061335044/
