,City,Year,Brand,Car Name,Car model,Car Price,Car km,Owner,Car Type
1859,Ahmedabad,2019,Hyundai,NEW SANTRO ,Automatic,589799,3271,1,Petrol
1860,Ahmedabad,2019,Jeep,Compass  ,Manual,1398099,10488,1,Petrol
1861,Ahmedabad,2018,Maruti,Swift  ,Automatic,625299,59803,1,Petrol
1862,Ahmedabad,2019,Hyundai,NEW SANTRO ,Manual,440699,51364,1,Petrol
1863,Ahmedabad,2019,Maruti,New Wagon-R ,Manual,556599,20605,1,Petrol
1864,Ahmedabad,2021,Maruti,Alto  ,Manual,401239,2537,1,Petrol
1865,Ahmedabad,2016,Maruti,Wagon R 1.0,Manual,428599,14642,1,Petrol
1866,Ahmedabad,2018,Audi,A3  ,Automatic,1968199,40422,2,Diesel
1867,Ahmedabad,2017,Hyundai,Grand i10 ,Manual,475999,23584,1,Petrol
1868,Ahmedabad,2018,Maruti,Celerio  ,Manual,469699,31321,1,Petrol
1869,Ahmedabad,2014,Honda,City  ,Manual,600599,87194,2,Petrol
1870,Ahmedabad,2016,Hyundai,Xcent  ,Manual,525499,41986,1,Petrol
1871,Ahmedabad,2020,Toyota,Glanza  ,Manual,720299,11527,1,Petrol
1872,Ahmedabad,2019,Mahindra,XUV500  ,Automatic,1376399,84312,1,Diesel
1873,Ahmedabad,2019,Ford,Ecosport  ,Manual,948599,24186,1,Diesel
1874,Ahmedabad,2016,Honda,Amaze  ,Manual,546099,40054,1,Petrol
1875,Ahmedabad,2015,Hyundai,Eon  ,Manual,295399,36850,2,Petrol
1876,Ahmedabad,2015,Maruti,Baleno  ,Manual,540787,58839,2,Petrol
1877,Ahmedabad,2020,Maruti,Alto  ,Manual,374599,24968,1,Petrol
1878,Ahmedabad,2020,Maruti,Alto  ,Manual,365299,11634,1,Petrol
1879,Ahmedabad,2019,Honda,Amaze  ,Manual,633499,37768,1,Petrol
1880,Ahmedabad,2015,Honda,Brio  ,Manual,396899,38732,1,Petrol
1881,Ahmedabad,2015,Hyundai,Eon  ,Manual,309699,28670,1,Petrol
1882,Ahmedabad,2020,Maruti,S PRESSO ,Manual,456899,18681,1,Petrol
1883,Ahmedabad,2016,Hyundai,Xcent  ,Manual,531299,51703,1,Petrol
1884,Ahmedabad,2018,Maruti,Baleno  ,Manual,650299,21445,1,Petrol
1885,Ahmedabad,2018,Jeep,Compass  ,Manual,1313499,37237,1,Diesel
1886,Ahmedabad,2018,Renault,Kwid  ,Manual,381799,17082,1,Petrol
1887,Ahmedabad,2021,Maruti,Eeco  ,Manual,531399,11155,1,Petrol
1888,Ahmedabad,2016,Honda,Jazz  ,Manual,499099,50085,2,Petrol + CNG
1889,Ahmedabad,2017,Maruti,Celerio  ,Manual,415199,75006,1,Petrol
1890,Ahmedabad,2021,Hyundai,VENUE  ,Manual,836199,7573,1,Petrol
1891,Ahmedabad,2019,Hyundai,Verna  ,Manual,993199,5788,2,Petrol
1892,Ahmedabad,2017,Honda,Brio  ,Automatic,570199,18829,1,Petrol
1893,Ahmedabad,2019,Renault,Kwid  ,Manual,408799,21268,1,Petrol
1894,Ahmedabad,2018,Hyundai,Grand i10 ,Manual,584099,14793,1,Petrol
1895,Ahmedabad,2014,Hyundai,Elite i20 ,Manual,563299,50419,1,Petrol
1896,Ahmedabad,2018,Hyundai,Grand i10 ,Manual,489299,54545,1,Petrol
1897,Ahmedabad,2019,Honda,Amaze  ,Automatic,831899,25302,1,Diesel
1898,Ahmedabad,2017,Maruti,Alto 800 ,Manual,313899,31386,1,Petrol
1899,Ahmedabad,2018,Honda,Jazz  ,Manual,681199,56825,1,Petrol
1900,Ahmedabad,2017,Maruti,Swift  ,Manual,530899,50714,2,Petrol
1901,Ahmedabad,2017,Maruti,Baleno  ,Manual,518899,62052,2,Petrol
1902,Ahmedabad,2016,Maruti,Vitara Brezza ,Manual,697299,150355,1,Diesel
1903,Ahmedabad,2018,Maruti,Vitara Brezza ,Automatic,837599,33373,2,Diesel
1904,Ahmedabad,2018,Maruti,Celerio X ,Manual,449599,79113,1,Petrol
1905,Ahmedabad,2016,Maruti,Baleno  ,Manual,518799,90855,1,Petrol
1906,Ahmedabad,2020,Hyundai,VENUE  ,Manual,883099,45502,1,Petrol
1907,Ahmedabad,2016,Maruti,Vitara Brezza ,Manual,795299,77481,1,Diesel
1908,Ahmedabad,2017,Skoda,Rapid  ,Manual,602899,83867,1,Petrol
1909,Ahmedabad,2017,Maruti,Baleno  ,Manual,555699,115329,1,Diesel
1910,Ahmedabad,2018,Maruti,Vitara Brezza ,Manual,806899,39033,1,Diesel
1911,Ahmedabad,2021,Maruti,Baleno  ,Manual,754399,2385,1,Petrol
1912,Ahmedabad,2018,Hyundai,Elite i20 ,Manual,731499,40636,2,Petrol
1913,Ahmedabad,2019,Hyundai,NEW SANTRO ,Manual,516899,15026,1,Petrol
1914,Ahmedabad,2020,Maruti,Baleno  ,Manual,685899,3627,1,Petrol
1915,Ahmedabad,2020,Maruti,IGNIS  ,Manual,528999,4933,1,Petrol
1916,Ahmedabad,2016,Hyundai,Grand i10 ,Manual,441699,73191,1,Petrol
1917,Ahmedabad,2016,Hyundai,Elite i20 ,Manual,588699,59671,3,Diesel
1918,Ahmedabad,2020,Maruti,Baleno  ,Manual,722599,3111,1,Petrol
1919,Ahmedabad,2020,Renault,Kwid  ,Manual,487199,19935,1,Petrol
1920,Ahmedabad,2020,Honda,Civic  ,Manual,1710199,29552,1,Diesel
1921,Ahmedabad,2019,Ford,Ecosport  ,Manual,875499,29821,1,Diesel
1922,Ahmedabad,2018,Maruti,Baleno  ,Manual,577999,33217,1,Petrol
1923,Ahmedabad,2021,Maruti,S PRESSO ,Automatic,494199,3151,1,Petrol
1924,Ahmedabad,2019,Hyundai,Creta  ,Automatic,1369899,9553,2,Petrol
1925,Ahmedabad,2016,Honda,City  ,Manual,672599,87049,1,Petrol
1926,Ahmedabad,2015,Volkswagen,Vento  ,Manual,550199,59933,2,Petrol
1927,Ahmedabad,2020,Maruti,Baleno  ,Manual,780505,14551,1,Petrol
1928,Ahmedabad,2021,Maruti,Baleno  ,Manual,754399,7138,1,Petrol
1929,Ahmedabad,2016,Hyundai,Grand i10 ,Manual,485299,30916,1,Petrol
1930,Ahmedabad,2015,Honda,Brio  ,Manual,352399,75970,1,Petrol
1931,Ahmedabad,2020,Hyundai,NEW SANTRO ,Manual,525599,6234,1,Petrol
1932,Ahmedabad,2016,Hyundai,Grand i10 ,Manual,441699,70427,1,Petrol
1933,Ahmedabad,2021,Maruti,Alto  ,Manual,553099,19549,1,Petrol + CNG
1934,Ahmedabad,2017,Hyundai,Xcent  ,Manual,551299,43319,1,Petrol
1935,Ahmedabad,2018,Hyundai,Creta  ,Manual,1226599,72123,1,Diesel
1936,Ahmedabad,2016,Maruti,Wagon R 1.0,Manual,418099,22698,1,Petrol
1937,Ahmedabad,2014,Hyundai,i10  ,Manual,350699,37680,1,Petrol
1938,Ahmedabad,2019,Jeep,Compass  ,Manual,1425399,60946,1,Diesel
1939,Ahmedabad,2021,Maruti,S PRESSO ,Manual,441299,6027,1,Petrol
1940,Ahmedabad,2019,Maruti,New Wagon-R ,Manual,561099,41419,1,Petrol
1941,Ahmedabad,2019,Hyundai,Grand i10 ,Manual,541699,28022,1,Petrol
1942,Ahmedabad,2018,Hyundai,Grand i10 ,Manual,584099,19521,1,Petrol
1943,Ahmedabad,2020,Volkswagen,Polo  ,Automatic,879699,40145,1,Petrol
1944,Ahmedabad,2020,MG,HECTOR  ,Automatic,1776099,10501,1,Petrol
1945,Ahmedabad,2020,Hyundai,VENUE  ,Manual,1048999,14064,2,Petrol
1946,Ahmedabad,2019,Hyundai,Creta  ,Automatic,1278099,31889,1,Petrol
1947,Ahmedabad,2014,Hyundai,i20  ,Manual,414299,48665,3,Petrol
1948,Ahmedabad,2017,Hyundai,Grand i10 ,Manual,475999,49314,1,Petrol
1949,Ahmedabad,2020,Hyundai,Creta  ,Manual,1459129,14847,1,Petrol
1950,Ahmedabad,2018,Maruti,Vitara Brezza ,Manual,721699,52735,1,Diesel
1951,Ahmedabad,2020,Maruti,S PRESSO ,Manual,433099,39768,1,Petrol
1953,Ahmedabad,2017,Datsun,Redi Go ,Manual,297799,14257,1,Petrol
1954,Ahmedabad,2017,Hyundai,Eon  ,Manual,343999,15300,1,Petrol
1955,Ahmedabad,2020,Maruti,Dzire  ,Manual,715299,13099,1,Petrol
1956,Ahmedabad,2020,Hyundai,Creta  ,Manual,1483599,65365,1,Diesel
1957,Ahmedabad,2020,Maruti,Baleno  ,Manual,762899,9204,1,Petrol
1958,Ahmedabad,2019,Maruti,Dzire  ,Manual,648999,45720,1,Petrol
1959,Ahmedabad,2016,Maruti,Alto 800 ,Manual,293199,38157,1,Petrol
1960,Ahmedabad,2016,Maruti,Wagon R 1.0,Manual,400399,31312,1,Petrol
1961,Ahmedabad,2021,Maruti,Alto  ,Manual,420299,9783,1,Petrol
1962,Ahmedabad,2016,Maruti,Baleno  ,Manual,557999,56814,1,Petrol
1963,Ahmedabad,2019,Maruti,Dzire  ,Manual,660899,39361,1,Petrol
