City,Year,Brand,Car Name,Car model,Car Price,Car km,Owner,Car Type
Pune,2019,Maruti,Maruti Baleno  ,Manual,731199,19642,1,Petrol
Pune,2017,Maruti,Maruti Vitara Brezza ,Manual,781199,44742,1,Diesel
Pune,2018,Maruti,Maruti Ciaz  ,Manual,824899,28523,1,Diesel
Pune,2017,Hyundai,Hyundai Creta  ,Automatic,1073384,97358,1,Diesel
Pune,2018,Maruti,Maruti Baleno  ,Manual,694699,10344,1,Petrol
Pune,2019,Maruti,Maruti Baleno  ,Manual,736629,33608,1,Petrol
Pune,2017,Maruti,Maruti Baleno  ,Manual,653499,32981,1,Petrol
Pune,2020,MG,MG HECTOR  ,Automatic,1888499,5388,1,Petrol
Pune,2017,Honda,Honda City  ,Automatic,940999,24655,2,Petrol
Pune,2017,Maruti,Maruti Vitara Brezza ,Manual,738199,48518,1,Diesel
Pune,2017,Maruti,Maruti Baleno  ,Manual,653499,24991,1,Petrol
Pune,2017,Tata,Tata Hexa  ,Automatic,1114799,104347,1,Diesel
Pune,2018,Maruti,Maruti Alto 800 ,Manual,339099,28017,1,Petrol
Pune,2020,Tata,Tata NEXON  ,Manual,936099,43163,1,Petrol
Pune,2017,Maruti,Maruti S Cross ,Manual,958799,58871,1,Diesel
Pune,2017,Maruti,Maruti IGNIS  ,Automatic,583899,26328,1,Petrol
Pune,2018,Ford,Ford Ecosport  ,Automatic,904599,44981,1,Petrol
Pune,2017,Tata,Tata Hexa  ,Automatic,1021199,119618,1,Diesel
Pune,2018,Toyota,Toyota YARIS  ,Manual,856999,28478,1,Petrol
Pune,2018,Tata,Tata NEXON  ,Automatic,887609,79737,1,Diesel
Pune,2018,Hyundai,Hyundai Verna  ,Automatic,1102199,21774,1,Petrol
Pune,2018,Honda,Honda WR-V  ,Manual,815299,15939,1,Petrol
Pune,2018,Maruti,Maruti S Cross ,Manual,1022099,64963,1,Diesel
Pune,2018,Maruti,Maruti S Cross ,Manual,926099,63073,1,Diesel
Pune,2017,Honda,Honda WR-V  ,Manual,624299,100475,1,Petrol
Pune,2017,Maruti,Maruti S Cross ,Manual,855799,77395,1,Diesel
Pune,2018,Hyundai,Hyundai Tucson New ,Automatic,1941299,50976,2,Diesel
Pune,2014,Hyundai,Hyundai Eon  ,Manual,339099,11779,1,Petrol
Pune,2015,Maruti,Maruti Alto 800 ,Manual,293299,11125,1,Petrol
Pune,2016,Maruti,Maruti Swift  ,Manual,504399,14724,2,Petrol
Pune,2019,Maruti,Maruti Ertiga  ,Automatic,1130999,16389,1,Petrol
Pune,2019,Maruti,Maruti Ertiga  ,Automatic,1130999,39506,1,Petrol
Pune,2016,Maruti,Maruti Celerio  ,Manual,439999,53508,1,Diesel
Pune,2019,Maruti,Maruti Ertiga  ,Manual,1126199,23796,1,Diesel
Pune,2011,Mercedes,Mercedes Benz C Class,Automatic,845699,43482,2,Diesel
Pune,2020,Maruti,Maruti Dzire  ,Manual,763799,7766,1,Petrol
Pune,2015,Maruti,Maruti Swift Dzire ,Manual,474299,91842,1,Petrol
Pune,2014,Maruti,Maruti Swift Dzire ,Manual,447599,54417,1,Petrol
Pune,2013,Maruti,Maruti Swift  ,Manual,403799,54935,1,Petrol
Pune,2017,Maruti,Maruti Swift  ,Manual,629599,53444,2,Diesel
Pune,2016,Renault,Renault Kwid  ,Manual,338299,46799,1,Petrol
Pune,2017,Maruti,Maruti Celerio  ,Automatic,467999,35598,1,Petrol
Pune,2015,Volkswagen,Volkswagen Vento  ,Automatic,584699,63954,2,Diesel
Pune,2017,Hyundai,Hyundai Elite i20 ,Manual,521999,33595,1,Petrol
Pune,2013,Hyundai,Hyundai i10  ,Automatic,382299,39557,2,Petrol
Pune,2018,Maruti,Maruti Swift  ,Automatic,687799,22989,1,Petrol
Pune,2018,Toyota,Toyota Innova Crysta ,Manual,1814599,37082,1,Diesel
Pune,2013,Hyundai,Hyundai i20  ,Manual,340499,115474,2,Petrol
Pune,2015,Maruti,Maruti Alto K10 ,Automatic,377799,16285,1,Petrol
Pune,2014,Hyundai,Hyundai Grand i10 ,Manual,403399,61565,1,Petrol
Pune,2018,Toyota,Toyota Innova Crysta ,Manual,1737899,44195,1,Diesel
Pune,2019,Maruti,Maruti Vitara Brezza ,Manual,875199,48396,1,Diesel
Pune,2016,Maruti,Maruti Alto 800 ,Manual,310599,32054,1,Petrol
Pune,2015,Maruti,Maruti Alto K10 ,Manual,305899,64814,1,Petrol
Pune,2015,Mahindra,Mahindra XUV500  ,Manual,883799,42820,1,Diesel
Pune,2016,Maruti,Maruti Baleno  ,Manual,533699,44778,1,Petrol
Pune,2015,Hyundai,Hyundai Creta  ,Manual,850999,59326,1,Petrol
Pune,2017,Maruti,Maruti Vitara Brezza ,Manual,711299,33285,1,Diesel
Pune,2013,Mahindra,Mahindra XUV500  ,Manual,777199,89456,2,Diesel
Pune,2016,Renault,Renault Duster  ,Manual,633899,117368,1,Diesel
Pune,2018,Maruti,Maruti Wagon R 1.0,Automatic,415199,67320,1,Petrol
Pune,2018,Maruti,Maruti Baleno  ,Manual,594099,41816,1,Petrol
Pune,2016,Hyundai,Hyundai Creta  ,Automatic,929799,113700,1,Diesel
Pune,2017,Maruti,Maruti Ciaz  ,Manual,700199,69038,1,Diesel
Pune,2017,Renault,Renault Kwid  ,Automatic,431699,30100,1,Petrol
Pune,2018,Maruti,Maruti Vitara Brezza ,Manual,812899,45635,1,Diesel
Pune,2016,Volkswagen,Volkswagen Ameo  ,Manual,501799,30902,1,Petrol
Pune,2018,Maruti,Maruti S Cross ,Manual,889399,35691,2,Diesel
Pune,2017,Honda,Honda City  ,Manual,874699,50334,2,Diesel
Pune,2020,Volkswagen,Volkswagen Polo  ,Manual,868699,39385,1,Petrol
Pune,2015,Honda,Honda Amaze  ,Manual,509799,35785,1,Petrol
Pune,2016,Honda,Honda City  ,Manual,671299,69887,2,Petrol
Pune,2018,Volkswagen,Volkswagen Polo  ,Manual,609999,21612,1,Petrol
Pune,2014,Honda,Honda Amaze  ,Manual,472499,36235,1,Petrol
Pune,2016,Hyundai,Hyundai Grand i10 ,Manual,469099,27898,1,Petrol
Pune,2017,Honda,Honda Brio  ,Automatic,632999,18396,1,Petrol
Pune,2019,Maruti,Maruti New Wagon-R ,Manual,588799,9908,1,Petrol
Pune,2016,Hyundai,Hyundai Elite i20 ,Manual,665799,31157,1,Petrol
Pune,2020,Maruti,Maruti New Wagon-R ,Manual,593603,76343,1,Petrol
Pune,2019,Hyundai,Hyundai Elite i20 ,Manual,715999,13566,1,Petrol
Pune,2019,Maruti,Maruti Vitara Brezza ,Manual,1021299,57806,1,Diesel
Pune,2015,Hyundai,Hyundai Grand i10 ,Manual,490999,12627,1,Petrol
Pune,2017,Maruti,Maruti Celerio  ,Automatic,483799,52807,1,Petrol
Pune,2019,Renault,Renault TRIBER  ,Manual,678599,8712,1,Petrol
Pune,2019,Hyundai,Hyundai Elite i20 ,Manual,711649,32859,1,Petrol
Pune,2014,Ford,Ford Ecosport  ,Manual,516599,57520,1,Diesel
Pune,2020,KIA,KIA SELTOS  ,Automatic,1890099,7855,1,Diesel
Pune,2020,Hyundai,Hyundai VENUE  ,Manual,999699,25005,1,Petrol
Pune,2015,Hyundai,Hyundai Elite i20 ,Manual,531299,75263,1,Petrol
Pune,2018,Maruti,Maruti Vitara Brezza ,Automatic,1009199,32665,1,Diesel
Pune,2018,Maruti,Maruti Wagon R 1.0,Manual,477199,16432,2,Petrol
Pune,2019,Hyundai,Hyundai Elite i20 ,Manual,699699,16160,1,Petrol
Pune,2016,Skoda,Skoda Superb  ,Automatic,1774499,23893,1,Petrol
Pune,2017,Maruti,Maruti Vitara Brezza ,Manual,753399,33515,1,Diesel
Pune,2017,Maruti,Maruti IGNIS  ,Manual,566049,20478,1,Petrol
Pune,2019,Maruti,Maruti Vitara Brezza ,Automatic,906899,70241,1,Diesel
Pune,2017,Maruti,Maruti Ciaz  ,Manual,686299,20254,1,Petrol
Pune,2017,Maruti,Maruti Baleno  ,Manual,624599,50905,2,Petrol
Pune,2018,Maruti,Maruti Dzire  ,Manual,704199,30817,1,Petrol
Pune,2017,Maruti,Maruti Baleno  ,Manual,609099,35584,1,Petrol
Pune,2020,Maruti,Maruti Vitara Brezza ,Manual,887999,24130,1,Petrol
Pune,2020,Honda,Honda City  ,Automatic,1468599,9911,1,Petrol
Pune,2017,Hyundai,Hyundai Grand i10 ,Manual,576999,17484,1,Petrol
Pune,2018,Hyundai,Hyundai NEW SANTRO ,Manual,494199,29668,1,Petrol
Pune,2017,Volkswagen,Volkswagen Polo  ,Automatic,807199,26912,1,Petrol
Pune,2017,Hyundai,Hyundai Creta  ,Manual,801399,69721,2,Petrol
Pune,2020,Maruti,Maruti S PRESSO ,Automatic,535799,3301,1,Petrol
Pune,2016,Maruti,Maruti Baleno  ,Manual,620099,54486,1,Petrol
Pune,2019,MG,MG HECTOR  ,Automatic,1734799,31713,1,Petrol
Pune,2019,Maruti,Maruti Alto K10 ,Manual,425499,15962,1,Petrol
Pune,2015,Maruti,Maruti Alto K10 ,Manual,325899,42521,1,Petrol
Pune,2019,Tata,Tata NEXON  ,Automatic,1060399,7864,1,Petrol
Pune,2015,Hyundai,Hyundai Grand i10 ,Manual,463399,54856,1,Petrol
Pune,2017,Maruti,Maruti Alto K10 ,Automatic,406899,16366,1,Petrol
Pune,2018,Maruti,Maruti Wagon R 1.0,Manual,480599,19756,2,Petrol
Pune,2017,Maruti,Maruti Wagon R 1.0,Manual,478199,37606,1,Petrol
Pune,2018,Maruti,Maruti S Cross ,Manual,892799,60983,1,Diesel
Pune,2019,Maruti,Maruti Alto K10 ,Automatic,447699,21306,1,Petrol
Pune,2019,Maruti,Maruti Baleno  ,Manual,719599,25678,1,Petrol
Pune,2017,Hyundai,Hyundai Grand i10 ,Manual,539599,27054,1,Petrol
Pune,2018,Hyundai,Hyundai Creta  ,Automatic,1106599,40089,1,Petrol
Pune,2017,Toyota,Toyota Camry  ,Automatic,1925799,69898,1,Petrol
Pune,2017,Ford,Ford Ecosport  ,Automatic,763199,23749,2,Petrol
Pune,2017,Maruti,Maruti IGNIS  ,Manual,484499,33192,1,Petrol
Pune,2018,Toyota,Toyota YARIS  ,Automatic,1019599,59985,1,Petrol
Pune,2015,Maruti,Maruti S Cross ,Manual,587499,76022,1,Diesel
Pune,2018,Jeep,Jeep Compass  ,Automatic,1657299,18567,1,Petrol
Pune,2015,BMW,BMW 3 Series ,Automatic,1502499,96071,1,Diesel
Pune,2016,Maruti,Maruti Swift Dzire ,Manual,475999,185289,1,Petrol
Pune,2017,Maruti,Maruti Swift  ,Manual,577399,23787,1,Diesel
Pune,2016,Maruti,Maruti Swift  ,Manual,563699,62326,1,Petrol
Pune,2017,Maruti,Maruti Celerio  ,Automatic,469099,47667,1,Petrol
Pune,2016,Maruti,Maruti Swift  ,Manual,527799,40106,1,Diesel
Pune,2015,Hyundai,Hyundai Elite i20 ,Manual,587399,42587,1,Diesel
Pune,2018,Honda,Honda Amaze  ,Automatic,715499,4964,1,Petrol
Pune,2018,Ford,Ford Ecosport  ,Manual,981299,18530,1,Diesel
Pune,2016,Maruti,Maruti Baleno  ,Manual,600299,36930,1,Petrol
Pune,2016,Maruti,Maruti Vitara Brezza ,Manual,767599,59735,1,Diesel
Pune,2018,Maruti,Maruti Wagon R 1.0,Manual,509299,55622,1,Petrol + CNG
Pune,2018,Maruti,Maruti Dzire  ,Manual,692299,53343,1,Diesel
Pune,2017,Hyundai,Hyundai Creta  ,Automatic,1135099,68980,1,Petrol
Pune,2019,Renault,Renault Kwid  ,Manual,422099,14240,1,Petrol
Pune,2020,KIA,KIA SELTOS  ,Manual,1278599,19355,1,Petrol
Pune,2018,Maruti,Maruti Celerio  ,Manual,454599,12017,1,Petrol
Pune,2014,Maruti,Maruti Swift Dzire ,Manual,447599,29495,2,Petrol
Pune,2014,Toyota,Toyota Innova  ,Manual,857699,95466,2,Diesel
Pune,2020,Tata,Tata Tiago  ,Manual,602199,21652,1,Petrol
Pune,2014,Honda,Honda Amaze  ,Manual,452499,30988,1,Petrol
Pune,2020,Hyundai,Hyundai Creta  ,Automatic,2232599,14277,1,Diesel
Pune,2018,Volkswagen,Volkswagen Polo  ,Manual,627199,17098,1,Petrol
Pune,2021,Renault,Renault TRIBER  ,Manual,756499,10685,1,Petrol
Pune,2019,Hyundai,Hyundai Elite i20 ,Manual,853599,65700,1,Diesel
Pune,2016,Maruti,Maruti Ciaz  ,Manual,671999,63747,1,Diesel
Pune,2020,KIA,KIA SELTOS  ,Automatic,1889699,18978,1,Diesel
Pune,2014,Maruti,Maruti Alto 800 ,Manual,279299,34076,2,Petrol
Pune,2015,Honda,Honda Brio  ,Manual,364699,30911,1,Petrol
Pune,2017,Hyundai,Hyundai Elite i20 ,Manual,600299,14875,1,Petrol
Pune,2013,Hyundai,Hyundai i20  ,Manual,419199,33309,3,Petrol
Pune,2019,Mahindra,Mahindra XUV500  ,Automatic,1550699,26586,1,Diesel
Pune,2017,Honda,Honda BR-V  ,Manual,662699,40480,2,Petrol
Pune,2017,Mercedes,Mercedes Benz GLC CLASS,Automatic,3353899,52903,1,Diesel
Pune,2021,Maruti,Maruti Swift  ,Automatic,882799,5591,1,Petrol
Pune,2018,Renault,Renault Kwid  ,Automatic,459799,59885,1,Petrol
Pune,2017,Maruti,Maruti Celerio  ,Automatic,467999,49720,1,Petrol
Pune,2015,Mercedes,Mercedes Benz B Class,Automatic,1052599,81609,3,Diesel
Pune,2015,Maruti,Maruti Alto 800 ,Manual,282799,49390,1,Petrol
Pune,2019,Maruti,Maruti New Wagon-R ,Manual,598299,32242,1,Petrol
Pune,2019,Renault,Renault Kwid  ,Manual,403899,27469,1,Petrol
Pune,2021,Datsun,Datsun Redi Go ,Manual,508499,514,1,Petrol
Pune,2016,Hyundai,Hyundai Verna  ,Manual,642699,44574,2,Petrol
Pune,2018,Tata,Tata NEXON  ,Automatic,1051199,36416,1,Diesel
Pune,2018,Maruti,Maruti S Cross ,Manual,1074872,24701,1,Diesel
Pune,2014,Honda,Honda Amaze  ,Manual,422099,43294,1,Petrol
Pune,2016,Maruti,Maruti Celerio  ,Automatic,431899,27167,2,Petrol
Pune,2018,Tata,Tata Hexa  ,Automatic,1582799,26155,1,Diesel
Pune,2016,Maruti,Maruti Alto K10 ,Automatic,392599,13309,1,Petrol
